                                                                                                    
{'loss': 4.8249, 'grad_norm': 121.13385449631014, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 3.916, 'grad_norm': 105.83926196699154, 'learning_rate': 1.4492753623188408e-07, 'epoch': 0.0}
{'loss': 3.6476, 'grad_norm': 66.7571935954094, 'learning_rate': 2.8985507246376816e-07, 'epoch': 0.0}
{'loss': 4.343, 'grad_norm': 133.17164662045766, 'learning_rate': 4.347826086956522e-07, 'epoch': 0.01}
{'loss': 4.4382, 'grad_norm': 125.1568067935807, 'learning_rate': 5.797101449275363e-07, 'epoch': 0.01}
{'loss': 5.0348, 'grad_norm': 133.19396326130288, 'learning_rate': 7.246376811594204e-07, 'epoch': 0.01}
{'loss': 4.2959, 'grad_norm': 118.34805553840236, 'learning_rate': 8.695652173913044e-07, 'epoch': 0.01}
{'loss': 4.5923, 'grad_norm': 88.87216270977443, 'learning_rate': 1.0144927536231885e-06, 'epoch': 0.01}
{'loss': 4.1474, 'grad_norm': 92.74049127065048, 'learning_rate': 1.1594202898550726e-06, 'epoch': 0.01}
{'loss': 4.7178, 'grad_norm': 88.57346975013232, 'learning_rate': 1.3043478260869566e-06, 'epoch': 0.01}
{'loss': 3.8007, 'grad_norm': 107.490859412267, 'learning_rate': 1.4492753623188408e-06, 'epoch': 0.02}
{'loss': 3.952, 'grad_norm': 97.66028009114464, 'learning_rate': 1.5942028985507246e-06, 'epoch': 0.02}
{'loss': 3.4804, 'grad_norm': 114.57959628789348, 'learning_rate': 1.7391304347826088e-06, 'epoch': 0.02}
{'loss': 3.6714, 'grad_norm': 63.2310012648724, 'learning_rate': 1.884057971014493e-06, 'epoch': 0.02}
{'loss': 3.2433, 'grad_norm': 60.06715272162168, 'learning_rate': 2.028985507246377e-06, 'epoch': 0.02}
{'loss': 3.0161, 'grad_norm': 75.02054160680544, 'learning_rate': 2.173913043478261e-06, 'epoch': 0.02}
{'loss': 2.4489, 'grad_norm': 62.56517694026555, 'learning_rate': 2.3188405797101453e-06, 'epoch': 0.02}
{'loss': 3.2927, 'grad_norm': 46.323331416177965, 'learning_rate': 2.4637681159420295e-06, 'epoch': 0.03}
{'loss': 2.9082, 'grad_norm': 55.23717034464238, 'learning_rate': 2.6086956521739132e-06, 'epoch': 0.03}
{'loss': 2.9076, 'grad_norm': 58.833628806927535, 'learning_rate': 2.7536231884057974e-06, 'epoch': 0.03}
{'loss': 2.5467, 'grad_norm': 49.0305696100565, 'learning_rate': 2.8985507246376816e-06, 'epoch': 0.03}
{'loss': 2.792, 'grad_norm': 48.878732375331374, 'learning_rate': 3.043478260869566e-06, 'epoch': 0.03}
{'loss': 1.7407, 'grad_norm': 38.31924149871102, 'learning_rate': 3.188405797101449e-06, 'epoch': 0.03}
{'loss': 1.8842, 'grad_norm': 39.444101063702796, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.04}
{'loss': 2.1825, 'grad_norm': 30.26538549124546, 'learning_rate': 3.4782608695652175e-06, 'epoch': 0.04}
